Ad type,Count
restaurant/café/cabaret,794
pianos,551
cigars and cigarettes,325
hotel,195
herbal tea laxative,171
bank,156
beer,139
theatre programs and advertising,134
beauty parlor,107
men's and boys' clothing,106
cocoa,99
photography,99
table waters/purified water,95
malted milk/malt extract,93
cheese,87
maternity clothing,66
shoes,65
remedies,85
hats,51
"furniture, carpets, rugs, beds and bedding",50
clothing,46
optometry,45
pawn broker,43
gowns,42
"Victrolas, phonographs, record players, records",42
furrier,41
cream cheese,39
ice cream,38
electrical supplies,37
catering hall,36
corset and glove maker,36
dancing school,36
millinery,36
stationery store,36
"meats, poultry, groceries, dairy, fish, delicatessen, vegetables, bakery",35
"""Caterers of Nature's Pure Foods""",34
Waw-Waw Sauce,34
clothing on credit,33
The Food Department Stores,32
department stores,31
haberdashery,31
watches and jewelry,30
candy,29
furniture,29
Whitbread English Ale and Stout,29
cough drops,28
booking agent for musicians and singers,27
costumes,27
formal wear rental,27
"hair goods, hair dyeing and dressing, facial massage, shampooing",27
mortgage loans,27
Arrowroot Biscuit,26
clothing dyeing and cleaning,26
hair goods,26
"hair goods, hair dressing, scalp treatment",26
Arrowroot Biscuits,24
Bootz Apricot Liqueur,24
"diamonds, watches, jewelry",22
bakery and lunch room,21
breath freshener,21
Chocolate Tokens,21
"furniture, rugs, beds, and bedding",21
groceries,21
automobile tires,20
confections,20
peroxide massage cream,20
aperitif,19
chocolates and bonbons,19
Clothing,19
ice cream and catering,19
Medicine,19
Sahlin perfect form and corset,19
"sheet music, post cards, souvenirs of New York",19
Sporting Goods and Hardware,19
"Carpets, Rugs, Oil Cloths, Linoleum",18
"diamonds, watches, cut glass, clocks jewelry and silverware",18
jewelers and optometrists,18
Rykon Biscuits,18
whiskey,18
candies,17
chewing gum,17
cruises,17
"gowns, wraps, millinery, lingerie, corsets",17
hair restorer,17
Mfg. Jeweler and Importer,17
surgeon chiropodist,17
electrical effects,16
hats and shirts,16
Salon,16
storage,16
gas heaters and radiators,15
Rykon Biscuit,14
baseball uniforms and supplies,13
biscuits,13
"Dealer in second-hand gowns, furs, and diamonds",13
furs,13
Grocery Store,13
metal polish,13
music dealers,13
protector of singing rights,13
Publisher,13
gowns and hats,12
men's formal wear rental,12
wigs,12
"""Neffah Brew"" in Bottles",11
corsets,11
costume fabricator,11
Cough Drops,11
"Dealer in second-hand gowns, furs, and jewelry",11
Dinner Biscuit,11
florists,11
Furniture,11
Packard cars for hire,11
,
throat and breath freshener,11
"Writing Papers, Kodaks, Fancy Goods, Dolls, Toys, Games, Children's Furniture, Etc.",11
corsets and gloves,10
grocery store,10
Hotel,10
ladies' tailor and furrier,10
skin cream,10
aperatif,9
"carpets, rugs, oil cloths, linoleum",9
department store,9
Garwood's Breath Hearts,9
hair removal,9
hairdressers,9
Marvel Whirling Spray Douche,9
scenery  ,9
shirts   ,9
Sole Distributors of Thomas A. Edison Kinetophone,9
The Peerless Economic Gas Lamp,9
Gum,8
Ice Cream and Catering,8
ice skating rink ,8
jewelers,8
