,2036
Chorus,113
art student,41
William Collier,33
Fay Templeton,31
Helena Collier Garrick,31
of Capt. Dinglebender's Command,29
doing Europe on a circumscribed bargain counter letter of credit,28
his wife,28
Frankie Bailey,25
John T. Kelly,23
American college student,23
Peeress,22
Tennis Girl,22
Joe Weber,21
Jeremiah McCann,21
a reform politician,21
Tennis Boy,21
Josh Kidder,20
George Beban,20
Pattie Rose,20
promoter of the International Cabaret-Vaudeville Trust,19
Michael Dillpickle,19
Henri Montmarte,19
Troubadour,19
Tea Girl,19
Pierre Poisson,18
proprietor of a bankrupt Parisian cafe,18
Clorinda McCann,18
Adelaide Mason ,18
Toots Hornblower,18
Gertrude Moyer,18
in vaudeville,17
her father's daughter,17
Rosie,17
a footman,17
Bessie Clayton,17
soprano,17
Lillian Russell,16
Mrs. Wallingford Grafter,16
with Bohemian instincts and a talent for poker,16
Peachie Mullen,16
Posie,16
Joseph Torpey,16
Pierrot de Willette,16
Hazel Kirke,16
Elsa Reinhardt,16
"Small Town Chap, Village Cutup, Rural Police, Kiss Burglar, Wine Agent, Fiance, etc.",16
Little Fawn,16
Edna Chase,15
Eelen Bunshop,15
Tammas Biggar's past,15
Athletic Girl,15
Lieutenant Shapeleigh,14
Signor A. Romeo,14
Harlequin,14
Lew Fields,14
Ada Lewis,14
Tammas Biggar,14
"her ""feyther,"" with a past",14
Bunty Biggar,14
with a talent for management,14
Mr. Hugh Cameron,14
basso,14
tenor,14
student at K College,14
a female villain,13
Jimmy Louder,13
a near orphan,13
Celeste,13
"wife of Felix's twin brother, Francois",13
receiving at Mrs. Vandeveer's,13
"Grisette, Flower Girl, Clown, etc.",13
Madge Vincent,12
Dodge Chappelle,12
Bonavita Hagenbeck,12
Julius Schroeder,12
"one of ""The Wriggle Sisters in Vaudeville""",12
Grace Emmons,12
Candide,12
the bride's younger sister,12
Dorothy Morton,12
the mother of the bridegroom,12
Albert Busby,12
Major Vathek,12
an amateur warrior,12
Joseph Phillips,12
"Policemiss, Court Spectator, Laundry Patron, Suffragette",12
"Chappie, Artist, etc.",12
Fay Tincher,11
Aristide Lenuit,11
Susie Slimpson,11
Patricia Flynn,11
Herman Dinglebender,11
Dr. August Breeze,11
the town's most popular bachelor doctor,11
Fannie Hicks,11
another near orphan,11
Pauline Panhard,11
a prominent citizen of Lilydale,11
Hazel Allen,11
Lina Pipe,11
lieutenant of Excelsior Hose No. 1,11
Herman Bierheister,11
partner and financial guide to Rausmitt,11
Christine Nielsen,11
a farm hand,11
George Madison,11
Ignace,11
father of the bride,11
Fritzi,11
John Rogers,11
who assists Captain Josef,11
Dorothy Jardon,11
a gypsy,11
Edward Martindel,11
Mafta,11
"Fire Laddie, Court Messenger, Junior Pinkerton, White Wing, Suffragette, etc.",11
"Fire Lassie, Police Reporter, Court Stenographer, Laundress, Suffragette, etc.",11
"Tourist, Gendarme, Vivandiere, etc.",11
Henri ,10
Olive Carr,10
Rene Charpentier,10
"a political boss, and proprietor of Flynn's laundry",10
"chief of police, formerly a wig maker and hairdresser, and now running for sheriff on the Repubocrat ticket",10
Daly Bunn,10
proprietor of Bunn's stoneyard; monuments and headstones to order,10
Denman Maley,10
Webster Choate,10
"a young lawyer, running for district attorney on the Repubocrat ticket",10
Will Archie,10
Mr. Louder,10
only a husband,10
Pietro,10
Miss Ray Cox,10
Mrs. Daly Bunn,10
"Daly Bunn's second wife, a woman lawyer, running for mayor on the Super-Suffragette ticket",10
Mrs. Talkington Louder,10
"a local society leader devoted to ""the cause""",10
Bessie Clifford,10
Wistaria Bunn,10
Daly Bunn's daughter,10
Miss Artie Hall,10
Pearl White,10
a colored washlady temporarily in politics,10
Helen Hayes,10
Vera Finlay,10
a lady police captain,10
Maude Gray,10
Annie Key,10
a bold fire girlie,10
Daisy Copp,10
a dashing rounds-girl,10
Nan Brennan,10
Lotta Lipp,10
a ward leader,10
Iona Mann,10
the pride of the fire department,10
Harry Russell,10
Cutie Wriggle,10
Dopie Wriggle,10
Ponsonby,10
Sir J. Rufus Wallingford,10
a capitalist,10
his son,10
Charles Angelo,10
Szigetti,10
the bride,10
John McCloskey,10
Felix,10
the bridegroom,10
Arthur Cunningham,10
Captain Josef,10
who rudely interrupts one wedding,10
Aza,10
Basilie,10
Willie Barnett,10
an American tourist,10
Lieut. Johann,10
William Brandt,10
Lieutenant Niklas,10
Rose Barnet,10
Meyer Bockheister,9
Pierre Boulmiche,9
a boulevardier,9
his daughter,9
George W. Monroe,9
Jess Dandy,9
Joseph Santley,9
an indignant Italian,9
May Maloney,9
Fanchon Finnegan,9
Grace Gilbert,9
Cassie Meade,9
a recent addition to the British Peerage,9
Mr. Bobby North,9
Solomon Bumpski,9
an angel,9
Iona Carr,9
Blackie Daw,9
"Wallingford's former pal, but present foe",9
Cleopatra,9
who has been in cold storage for a matter of two thousand years,9
Hiney Rausmitt,9
a college boy,9
who composes the wedding anthem,9
L. Parmet,9
Drummer Boy,9
Fritzi von Busing,9
Lotta,9
keeper of a tavern,9
brigand and philanthropist,9
 a pupil at the Sherry School of Aesthetic Dancing,9
Albert Sackett,9
Manicure girl,9
Concert Hall girl,9
Wilhelm Blatz,8
Cornet,8
Edward Adams,8
Fred Sidney,8
Mr. Leslie Powers,8
Uffenduffer,8
Kenneth Ryan,8
Hermann Muff,8
May Tormey,8
Olga Harting,8
Miss Myrtle Gilbert,8
Miss Flo May,8
Mr. Max Rogers,8
Wilhelm Rausmitt,8
Clorinda Scribblem,8
"Wallingford's typewriter, with literary aspirations",8
"""formerly of the Lunch Counter Girl Company and now of the Peerage""",8
Harry Manleigh,8
a divinity student,8
Maid,8
John Crawford,8
Lieutenant Leo,8
Robert Fisher,8
baritone,8
Alice,8
pupil at the Sherry School of Aesthetic Dancing,8
An Officer,8
Hiram,7
Musketiere,7
Chauncey Nightingale,7
Al. Leech,7
Adelaide Mason,7
Mr. Harry Cooper,7
Miss Virginia Evans,7
Mr. Carter De Haven,7
Miss Christine Nielsen,7
Mr. William Montgomery,7
Gracia Hammond,7
Sally Daly,7
Celie Pink,7
Philip Sohlke,7
Mrs. Sam Watson,7
Samanthy,7
Henry Peck,7
a farmer; formerly the village barber,7
"one of Chloe's friends, who believe that the proper study of Womanhood is Man",7
Julian Eltinge,7
his nephew,6
her son,6
Emily Miles,6
Lilian Herlein,6
a dancer,6
Henri,6
a servant,6
Fred Roberts ,6
Mr. Byrd Goolsby,6
Miss Florence Moore,6
Weenie Wistaria,6
"of ""The Jolly Embalmers""",6
Ravioli,6
a boss barber,6
Corporal Oscar,6
Beth Summerville,6
"Rocky's college chum, who is taking a Postgraduate course in Feminology",6
Young cousin of the Queen,6
"one of Rocky's college chums, who is taking a Postgraduate course in Feminology",6
"a ""Little Fawn""",6
Edward Garvie,6
Lankton Wells,6
