,44
William Collier,33
Fay Templeton,31
Helena Collier Garrick,31
Frankie Bailey,25
"The News of the World, Illustrated by Moving Pictures",23
John T. Kelly,23
Joe Weber,21
George Beban,21
Pattie Rose,20
George Drumm's Bronx Theatre Orchestra,20
Adelaide Mason ,18
Gertrude Moyer,18
Bessie Clayton,17
Lillian Russell,16
Joseph Torpey,16
Hazel Kirke,16
Elsa Reinhardt,16
Edna Chase,15
Signor A. Romeo,14
Lew Fields,14
Ada Lewis,14
Mr. Hugh Cameron,14
Weber and Fields Jubilee Company,13
Madge Vincent,12
Julius Schroeder,12
Grace Emmons,12
Dorothy Morton,12
Albert Busby,12
Joseph Phillips,12
Fay Tincher,11
Miss Ray Cox,11
Hazel Allen,11
Christine Nielsen,11
George Madison,11
John Rogers,11
Dorothy Jardon,11
Edward Martindel,11
Julian Eltinge,11
Olive Carr,10
George W. Monroe,10
Denman Maley,10
Will Archie,10
Bessie Clifford,10
Miss Artie Hall,10
Helen Hayes,10
Vera Finlay,10
Maude Gray,10
Nan Brennan,10
Harry Russell,10
Charles Angelo,10
John McCloskey,10
Arthur Cunningham,10
William Brandt,10
Rose Barnet,10
Jess Dandy,9
Joseph Santley,9
May Maloney,9
Grace Gilbert,9
Cassie Meade,9
Mr. Bobby North,9
L. Parmet,9
Fritzi von Busing,9
Albert Sackett,9
Edward Adams,8
Fred Sidney,8
Mr. Leslie Powers,8
Kenneth Ryan,8
May Tormey,8
Olga Harting,8
Miss Myrtle Gilbert,8
Miss Flo May,8
Mr. Max Rogers,8
John Crawford,8
Al. Leech,7
Adelaide Mason,7
Mr. Harry Cooper,7
Miss Virginia Evans,7
Mr. Carter De Haven,7
Miss Christine Nielsen,7
Mr. William Montgomery,7
Gracia Hammond,7
Sally Daly,7
Celie Pink,7
Philip Sohlke,7
Raymond Hitchcock,7
Mrs. Sam Watson,7
Robert Hilliard,7
Robert Fisher,7
William Faversham,7
Blanche Bates,7
Emily Miles,6
Lilian Herlein,6
Fred Roberts ,6
Ida Lenharr,6
Mr. Byrd Goolsby,6
Miss Florence Moore,6
Beth Summerville,6
Chauncey Olcott,6
Edward Garvie,6
Gladys Feldman,6
Walter Regan,6
Doris Olsson,6
Rose Stahl,6
Elise Hamilton,5
"The Kinetophone, Talking-Motion Pictures",5
Gertrude Hoffmann,5
Martha Dean,5
Arthur Hoops,5
Marie Lauro,5
Hermine Shone,5
James F. Dolan,5
"Billy ""Swede"" Hall",5
Mr. Hilarion Ceballos,5
Miss Frances Ross,5
Mr. Lew Fields,5
Carl Copeland,5
Earl O. Schenck,5
Jane Millard,5
Mr. S. Nunziato,5
Martin DeLaney,5
Will J. Kennedy,5
Anna Laughlin,5
Louise Mink,5
Lethia Gray,5
Louise Burnett,5
George Schaeffer,5
Alice Wilson,5
Lewis S. Stone,5
Henry Thompson,5
Grace Barbour,5
Alison Skinner,5
Rose Melville,5
Vivian Tobin,5
Himself,4
Pat Rooney and Marion Bent,4
Valerie Serice,4
Paul Dietz,4
Christian Rub,4
Willy Frey,4
Hans Hansen,4
Elise Hamilton ,4
Kathleen Neaves,4
Jack Devreaux,4
Bessie Wynn,4
Arthur Deagon,4
Blanche Walsh,4
Berton Churchill,4
Lola Curtis,4
Rosalind Coghlan,4
Henry Bergman,4
Gladys Breston,4
Morris Bodington,4
Lora Lieb,4
Mabel Allen,4
Hugh Cameron,4
Harry Wilcox,4
Ethel Wheeler ,4
Mr. Frank Whitman,4
John Downer,4
Ida Ellis,4
H. H. Forsman,4
Frank Bell,4
James Galloway,4
George Wender,4
C. R. Middleton,4
Miss A. Baroni,4
Mr. V. Navarrini,4
Mme. A. De Vien,4
James B. Carson,4
Jefferson De Angelis,4
Purnell B. Pratt,4
Arthur McWatters,4
Grace Tyson,4
Sallie Stembler,4
Albert Hart,4
Junie McCree,4
Bobby Barry,4
Margaret Taylor,4
Ann Murdock,4
Helen Ware,4
David Montgomery,4
James Spottswood,4
James E. Sullivan,4
Jean Morrell,4
Blanche Babbitt,4
Dorothy Landers,4
Miss Hazel Allen,4
Miss Ethel Wheeler,4
Willis Browne,4
Julia Hoyt,4
Elizabeth Bellairs,4
H. Cooper Cliffe,4
Burr McIntosh,4
Riley Hatch,4
Frank Martins,4
Curley Judge,4
Harold Salter,4
Mr. Louis Silvey,4
Minna Phillips,4
Mrs. Charlotte Wade Daniels,4
Thomas F. Tracey,4
"Henry Miller, Jr.",4
Daisy Adamy,4
Frederick Wallace,4
George Abbott,4
Frank Sylvester,4
Henry Stockbridge,4
Herbert Ayling,4
John E. Young,4
Helen Lowell,4
Robert Edeson,4
William Handel,4
Frank Stirling,4
Bernice Golden,4
Jules Unger,3
Virginia Harned,3
Valeska Suratt,3
Emily Darrell and Charley Conway,3
"Minnie Allen, Singing Comedienne",3
Maude Leslie,3
Louis Praetorius,3
Rudolf Christians,3
Selma Weber,3
Willy Wahl,3
Rudi Rahe,3
Heinrich Marlow,3
Isabelle Lowe,3
Wellington Cross and Lois Josephine ,3
Julia Carle,3
Ben Deely and Company,3
Montambo and Wells,3
Marie Wayne,3
Valerie Bergere and Company,3
Harry M. Smith,3
Mabel Woodrow,3
Chas. Edwards,3
Jimmy Casson,3
Betty Bond,3
Fannie Morse,3
John Barrymore,3
Herbert Warren,3
Valerie Bergere,3
Effie Bordine,3
"McDevitt, Kelly and Lucey",3
Mlle. Minni Amato,3
Gertrude Barnes,3
Lillian Herlein,3
Amy Lesser,3
Genevieve Cliff,3
Richard Pitman,3
Hermine Shone and Company,3
Eva Davenport,3
May Willard,3
Vera Olcott,3
Flora Russell,3
Mrs. Louis James,3
Clark and Bergman,3
Jessie Busley,3
Gertie O'Connor,3
Blossom Seeley,3
Mr. George W. Monroe,3
"Joseph Herbert, Jr.",3
Jack Henderson,3
Louis J. Winsch,3
Stewart Baird,3
Eleanor Lawson,3
Margie Cogan,3
Charles Miller,3
Neinda Snow,3
Lillian Elliot,3
Ruth Hanson,3
Jennie Colburn,3
Patrick Walsh,3
Sam Watson,3
Charles Mitchell,3
Charles King ,3
Joseph Kane,3
Irene Castle,3
Marjorie Blythe,3
Rosalie Ceballos,3
Donald Archer,3
Henry Norman,3
Jack Tate,3
Joseph Allenton,3
Mr. Julius Schroeder,3
Mr. Harry Russell,3
Beatrice Capulet,3
Florence Roberts,3
Mr. Will Archie,3
Arthur Astill,3
Blanche Shirley,3
C. H. Carlton,3
Jesse Thorn,3
Alice Evartson,3
M'liss Merrill,3
Elfrida Wagner,3
Mr. T. Kittay,3
Mr. G. De Carli,3
Mr. G. Mauro,3
Mme. A. Frery,3
Kitty Gordon,3
Grete von Mayhof,3
William Welp,3
Louis La Bey,3
Arthur Shaw,3
William Soames,3
William T. Clark,3
Katheryn Beach,3
Charles Wellesly,3
Robert V. Ferguson,3
F. Gatenby Bell,3
Jennie Lamont,3
Edith Taliaferro,3
Hayward Ginn,3
Fiske O'Hara,3
Daniel Lawler,3
Marie Quinn,3
Lou Ripley,3
Lisle Bloodgood,3
Gilbert Douglas,3
Charles W. Butler,3
Frank Wentworth,3
Carrie E. Perkins,3
Winona Winter,3
June Mathis,3
Louise Orth,3
Miss Jessie Busley,3
Miss Louise Carver,3
Mr. Thomas Murray,3
Mr. Charles Mitchell,3
Mr. Vernon Castle,3
Miss Elizabeth Brice,3
Mr. Charles King,3
Miss Blossom Seeley,3
Mr. Fred Roberts,3
Mr. Joseph Kane,3
Marie Caldwell,3
Louise Gunning,3
Harry Turpin,3
Marian Lee,3
Irene Cassina,3
T. Reynolds,3
Edward R. Mawson,3
J. Malcom Dunn,3
Winifred Harris,3
Frank Hollins,3
Bertram A. Marburgh,3
Bernard Durkin,3
William Frederic,3
Harry Hanlon,3
Frank Lyon,3
Chauncey Causland,3
Murray Darcy,3
Edmund Soraghan,3
Dorothy Cameron,3
Lina Abarbanell,3
Billy,3
Mr. A. G. Pyke,3
Billie Frances,3
Mr. Victor Browne,3
Miss Minna Phillips,3
Margaret Anglin,3
Walter Horton,3
Forrest Winant,3
Lionel Adams,3
Thais Magrane,3
Agnes Marc,3
Lee Kohlmar,3
Christie MacDonald,3
Mr. Ben Hendricks,3
Charles Cherry,3
Abraham Seror,3
Harry McCullom,3
Alfred Donohoe,3
Fred W. Permain,3
Geoffrey Stein,3
Walter Kingsford,3
Winifred Hanley,3
Foxhall Daingerfield,3
Willard Louis,3
Marie Haynes,3
Carl Harbough,3
Robert T. Haines and Company,2
Esther Van Eyting,2
Robert T. Haines,2
"Sammy Burns and Alice Fulton, in Terpsichorean Classics",2
Stella Mayhew and Billie Taylor,2
The Four Regals,2
Seth Dewberry (Himself),2
Mr. Ed. F. Reynard,2
Master Gabriel,2
Al. Lamar,2
"Bert Clark and Mabel Hamilton, England's Musical Comedy Stars",2
Louis Mann,2
"The Six American Dancers, A Sextette of Stylish Steppers",2
Fredrika Slemons and Company,2
John C. Rice and Sally Cohen,2
Mlle. Martha and Sisters,2
Ward de Wolf,2
John C. Rice,2
"The Grazers, In a Musical and Terpsichorean Novelty",2
Charles Dale,2
