Playwright,226
Producer,196
Director,133
Composer,87
George Drumm's Bronx Theatre Orchestra,71
Stage Manager,70
Orchestra,69
Musical Director,68
Leo C. Teller,65
Lessee and Manager,61
Properties,57
Business Manager,48
Conductor,44
,42
Edgar Smith,39
Stage Director,39
Producers,38
Lyricist,35
Manager,33
Playwrights,32
Cora MacGeachey,32
E. Ray Goetz,32
Master Mechanic,31
A. Baldwin Sloane,31
Costume Designer,31
Music,30
M. P. Krueger,30
Lew Fields,28
Costumes,28
Scenery Painter,28
Scenery,24
Electrician,24
Arthur Spitz and Edward Seidle,22
Mr. Hilding Anderson,22
Composers,21
Assistant Electrician,20
Master of Properties,20
Orchestrations,20
George A. Nichols,19
Scenery Builder,19
Wardrobe Mistress,19
John Young,18
Glen MacDonough,18
Chief Electrician,18
Edgar Smith and E. Ray Goetz,17
Ada Barclay,17
Arthur Voegtlin,17
Assistant Stage Manager,17
Edgar Allan Woolf,16
Author,16
Lyricists,15
W. H. Oviatt,15
Charles Fields,15
Gus Sohlke,14
Jesse L. Lasky,14
Joseph Sanford,14
David Atchison,14
General Press Representative,14
Ned Wayburn,14
H. Robert Law,14
A. H. Woods,14
Acting Manager,14
Sol. Fields,13
General Manager,13
Joseph Hart,12
John Stromberg and A. Baldwin Sloane,12
Directors,12
James Greenhouse,12
John E. Lynehan,12
William Raymond Sill,12
Mistress of Wardrobe,12
Drum Effects,12
Frank C. Langley,12
Orchestra Conductor,11
Arthur Spitz,11
Book and Lyrics,11
Choreographer,11
Carpenter,11
Thomas A. Edison,10
George Williams,10
Mme. Ada Barclay,10
Fred De Gresac and Harry B. Smith,10
Wm. J. Wilson,10
Arthur Hopkins,9
Representative for Mr. Weber,9
Arthur R. Evans,9
Production Company,9
Dabney Lee Smith,9
Manager for Lew Fields,9
Costume Plates,9
Master Carpenter,9
Gowns,9
Scenic designer,9
Weber and Fields Jubilee Company,8
Scenery Construction,8
Assistant Stage Director,8
Sohlke ,8
Writer,8
Electrical Effects,8
William Le Baron,8
Gus. Sohlke,8
"J. C. Huffman, William J. Wilson and Ned Wayburn",8
Max Davis,8
"John Stromberg, A. Baldwin Sloane and W. T. Francis",7
Manager ,7
Electrical effects,7
Henry W. Savage,7
George Marion,7
Klaw & Erlanger,7
Sam S. and Lee Shubert (Inc.),7
Reginald DeKoven,7
James Surridge,7
Frank E. Tours,7
Shoes,7
Scene Builder,7
Hans S. Linne,7
Lessee,6
Robert Hood Bowers,6
Berchard Dickerson,6
Joseph Fortier,6
Harry Digman,6
Lewis Hooper,6
Max Weber,6
Scenery painter,6
Lyrics,6
Mr. Paul Schindler,6
Words,6
Al Van der Werken,6
Cora MacGeachy,6
Fred Nathan,6
Al. Wilder,6
Avery Hopwood,6
Cammeyer,6
Property Man,6
Henry B. Harris,6
Otto Hauerbach,6
Sam S. & Lee Shubert Inc.,5
Playwright and Lyricist,5
B. A. Rolfe,5
Hassard Short,5
Scenery Designer,5
Joseph Sandford,5
Daniel Frohman,5
Cohan and Harris,5
Assistant Carpenter,5
Cora McGeachy,5
Ernest Gros,5
Costume designer,5
Geo. M. Cohan,5
Assistant,5
Scene Painter,5
Press Representative,5
Will H. Becker,5
Mrs. Kate Keeler,5
Cohan & Harris,5
Property Master,5
Manager of Company,5
David Belasco,5
Management,4
Will R. Barnes,4
Heinrich Marlow,4
Master of Props,4
Frank J. Sullivan,4
Assistant Master of Props,4
George Broadhurst,4
Business Representative,4
Songwriters,4
J. M. Welch,4
James Gorman,4
Treasurer,4
Walter J. Kingsley,4
Chas. K. Harris,4
F. C. Langley,4
Rhymes,4
William A. Brady,4
Victor Herbert,4
Rida Johnson Young,4
Stage Carpenter,4
Book,4
George W. Lederer,4
Adaptation and Lyrics,4
Junie McCree,4
Samuel Friedman,4
Porter Emerson Browne,4
"Frank Tannehill, Jr.",4
Ivan Caryll,4
Ralph J. Herbert,4
Edwin Milton Royle,4
Charles Klein,4
Playwright and Composer,3
Jack Mason,3
H. Bart McHugh,3
Willard Mack,3
Eugene Walter,3
"J. C. Huffman, William J. Wilson, and Ned Wayburn",3
Wm. Burridge,3
Charles Horwitz,3
author,3
Percival Knight,3
George Drumm,3
John Brunton,3
Aurelio Coccia,3
General Press Representative for Lew Fields,3
Sandy Young,3
Miss Ada Barclay,3
Show control designer,3
Channing Pollock and Rennold Wolf,3
Charles J. Gebest,3
Edwin Wallace Dunn,3
Charles F. Brown,3
James Crimmins,3
Master Electrician,3
General Representative,3
Everett Shinn,3
Charles Berton,3
Ad Newberger,3
Frank Saddler,3
Percy Wenrich,3
Marie Mosier,3
Book Writer,3
Pianist,3
August Kleinecke,3
Edward Siedle,3
Joseph R. Grismer,3
